CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,TechSupport,StreamingTV,PaymentMethod,Churn
CUST0001,56,Female,8,1369.59,75821.41,Monthly,No,Yes,Yes,Net Banking,1
CUST0002,69,Female,27,286.51,5166.2,Monthly,Fiber,Yes,Yes,Credit Card,1
CUST0003,46,Male,27,1908.46,27232.91,Monthly,Fiber,No,No,Net Banking,0
CUST0004,32,Male,34,1796.02,2707.38,Monthly,DSL,No,Yes,UPI,1
CUST0005,60,Female,21,669.61,50067.44,Two Year,No,No,Yes,Credit Card,0
CUST0006,25,Male,30,227.55,47882.96,Two Year,No,No,Yes,UPI,0
CUST0007,38,Male,33,1880.19,83221.46,One Year,Fiber,Yes,Yes,Credit Card,0
CUST0008,56,Male,28,1101.87,31123.84,One Year,No,No,Yes,Debit Card,1
CUST0009,36,Female,47,1170.88,81730.38,Monthly,DSL,Yes,No,UPI,0
CUST0010,40,Female,33,1431.13,96813.39,Two Year,DSL,Yes,No,UPI,1
CUST0011,28,Female,5,1308.53,9296.62,Two Year,DSL,Yes,Yes,Net Banking,1
CUST0012,28,Male,48,1899.0,79285.88,Two Year,No,Yes,Yes,UPI,1
CUST0013,41,Male,19,1899.65,59200.61,One Year,No,Yes,Yes,UPI,1
CUST0014,53,Female,4,1760.96,48264.57,One Year,No,No,No,Debit Card,1
CUST0015,57,Female,35,1345.53,42343.31,Two Year,No,No,Yes,UPI,1
CUST0016,41,Female,49,1641.71,78574.49,Two Year,No,No,No,Debit Card,1
CUST0017,20,Female,17,1418.9,64116.46,Two Year,DSL,No,No,Debit Card,1
CUST0018,39,Male,44,1232.06,80601.94,One Year,Fiber,Yes,No,Debit Card,1
CUST0019,19,Female,28,431.3,90363.53,Two Year,DSL,No,Yes,Debit Card,0
CUST0020,41,Male,30,1660.17,61917.74,Two Year,No,Yes,No,Credit Card,0
CUST0021,61,Female,29,1677.15,98056.04,Monthly,DSL,No,Yes,Net Banking,0
CUST0022,47,Male,46,1326.69,61004.74,Monthly,No,Yes,No,Credit Card,0
CUST0023,55,Female,53,1676.77,63846.11,One Year,No,Yes,Yes,UPI,0
